id,***,num,sides,bonus
SpHolyVeil,,,,
SpHero,,,,
SpCatsEye,,,,
ActLulwyTrick,,,,
DrainBlood,,#REF!,3+p/30,
DrainMana,,#REF!,3+p/100,
breathe_,,32.3,6+p/100,125.25
ball_,,33.1928571428571,2+p/35,
flare_,,1,2+p/35,
bolt_,,30.2166666666667,4+p/20,
hand_,,56.1,3+p/50,
arrow_,,20.825,8+p/12,20
miasma_,,5.33333333333333,5+p/80,
sword_,,14.52,5+p/5,
SpTelekinesis,,1,8+p/100,0
SpMoonArrow,,1,8+e/10,0
SpMoonSpear,,1,6+e/8,0
SpMeteor,,4.33333333333333,4+e*3,
SpEarthquake,,21.6666666666667,2+e/3,
SpShutterHex,,1,8+p/12,0
SpSilence,,,,
SpHealLight,,2,6+p/45+e/40,35.2
SpHealHeavy,,4,8+p/40+e/35,20
SpHealCritical,,6,12+p/35+e/30,33.4
SpHeal,,8,18+p/25+e/25,33.3333333333333
SpHealEris,,10,50+p/10+e/10,50
SpHealOdina,,10,100+p/2+e,100
SpHealJure,,1,1,500
SpHOT,,3.5,4+p/75,
ActManaAbsorb,,26,2+e/3,
ActJureHeal,,63.6,8+e/4,50.1
funnel_,,,,
ActSummonGodPet,,,,
ActSummonUndeadSister,,,,
SpTeleport,,,,
SpReturn,,,,
SpEvac,,,,
